Date,Eyinos,Marathonas,Mornos,Yliki,Total
1985-09-07,0,26301466,525150000,449552000,1001003466
1986-09-07,0,23359940,459625000,396959000,879943940
1987-09-07,0,19402985,332060000,462883000,814345985
1988-09-07,0,6374742,304434000,338832000,649640742
1989-09-07,0,25605056,231249000,223980000,480834056
1990-09-07,0,24878166,97030000,43700000,165608166
1991-09-07,0,27968024,202692000,96370000,327030024
1992-09-07,0,26407906,126396000,46200000,199003906
1993-09-07,0,25730750,101952000,3278000,130960750
1994-09-07,0,23599352,211840000,36480000,271919352
1995-09-07,0,19836885,354930000,62290000,437056885
1996-09-07,0,27507910,499330000,180020000,706857910
1997-09-07,0,23399750,583303000,253390000,860092750
1998-09-07,0,23379845,558334000,287948000,869661845
1999-09-07,0,17377543,618268000,404919000,1040564543
2000-09-07,0,14648358,508565000,334320000,857533358
2001-09-07,0,26089283,234566000,172005000,432660283
2002-09-07,77621896,27638890,196996000,213915000,516171786
2003-09-07,24857981,21836206,538380000,499113000,1084187187
2004-09-07,60537364,28743961,543820000,468796000,1101897325
2005-09-07,32348482,22298970,618960000,424280000,1097887452
2006-09-07,45555536,23459465,644700000,466387000,1180102001
2007-09-07,67332805,24082090,335694000,415055000,842163895
2008-09-07,42383773,26025836,207016000,242170000,517595609
2009-09-07,42835000,23820000,420755000,198042000,685452000
2010-09-07,77805000,20553000,577015000,255260000,930633000
2011-09-07,71701000,21001000,543820000,385308000,1021830000
2012-09-07,72239000,25002000,521970000,406511000,1025722000
2013-09-07,75000000,22455000,628302000,437044000,1162839000
2014-09-07,70941000,26622000,554770000,404123000,1056456000
2015-09-07,78555000,28012000,625188000,475900000,1207655000
2016-09-07,71419000,27705000,593845000,396760000,1089729000
2017-09-07,80529000,26966000,503219000,357176000,967890000
2018-09-07,22247000,27770000,648954000,362715000,1061686000
2019-09-07,110238000,25857000,573263000,511144000,1220502000
2020-09-07,86826000,27573000,452557000,505242000,1072198000
2021-09-07,64550000,28233000,527244000,447856000,1067883000
2022-09-07,79766000,27074000,595283000,426535000,1128658000
2023-09-07,32766000,26132000,526489000,346916000,932303000
2024-09-07,40938000,24919000,332239000,275089000,673185000
2025-09-07,45741000,20387000,197499000,172780000,436407000
2026-09-07,48374000,24366000,405976000,131438000,610154000
